"","ID","status","response","accuracy","target","contrast","item","cswl_list","recruitmentplatform","minimalpair"
"51","5b648251bd56550001bf31fd","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","prolific","1"
"52","5b648251bd56550001bf31fd","complete","pinre.jpg",1,"pinre.wav","0","9","A","prolific","0"
"53","5b648251bd56550001bf31fd","complete","lebno.jpg",1,"lebno.wav","0","8","A","prolific","0"
"54","5b648251bd56550001bf31fd","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","prolific","0"
"55","5b648251bd56550001bf31fd","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","prolific","1"
"56","5b648251bd56550001bf31fd","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","prolific","1"
"57","5b648251bd56550001bf31fd","complete","pinre.jpg",1,"pinre.wav","0","10","A","prolific","0"
"58","5b648251bd56550001bf31fd","complete","lebno.jpg",1,"lebno.wav","0","7","A","prolific","0"
"59","5b648251bd56550001bf31fd","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","prolific","0"
"60","5b648251bd56550001bf31fd","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","prolific","1"
"61","5ad51929546e150001b699a9","complete","tapsa.jpg",1,"tapsa.wav","1","1","B","prolific","1"
"62","5ad51929546e150001b699a9","complete","pinre.jpg",1,"pinre.wav","0","9","B","prolific","0"
"63","5ad51929546e150001b699a9","complete","lebno.jpg",1,"lebno.wav","0","8","B","prolific","0"
"64","5ad51929546e150001b699a9","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","prolific","0"
"65","5ad51929546e150001b699a9","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","prolific","1"
"66","5ad51929546e150001b699a9","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","prolific","1"
"67","5ad51929546e150001b699a9","complete","pinre.jpg",1,"pinre.wav","0","10","B","prolific","0"
"68","5ad51929546e150001b699a9","complete","lebno.jpg",1,"lebno.wav","0","7","B","prolific","0"
"69","5ad51929546e150001b699a9","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","prolific","0"
"70","5ad51929546e150001b699a9","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","prolific","1"
"71","5a73b0636fc3c60001f985a2","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","prolific","1"
"72","5a73b0636fc3c60001f985a2","complete","pinre.jpg",1,"pinre.wav","0","9","A","prolific","0"
"73","5a73b0636fc3c60001f985a2","complete","lebno.jpg",1,"lebno.wav","0","8","A","prolific","0"
"74","5a73b0636fc3c60001f985a2","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","prolific","0"
"75","5a73b0636fc3c60001f985a2","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","prolific","1"
"76","5a73b0636fc3c60001f985a2","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","prolific","1"
"77","5a73b0636fc3c60001f985a2","complete","pinre.jpg",1,"pinre.wav","0","10","A","prolific","0"
"78","5a73b0636fc3c60001f985a2","complete","lebno.jpg",1,"lebno.wav","0","7","A","prolific","0"
"79","5a73b0636fc3c60001f985a2","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","prolific","0"
"80","5a73b0636fc3c60001f985a2","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","prolific","1"
"81","591aac50ef20c600015d8c5d","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","prolific","1"
"82","591aac50ef20c600015d8c5d","complete","pinre.jpg",1,"pinre.wav","0","9","A","prolific","0"
"83","591aac50ef20c600015d8c5d","complete","lebno.jpg",1,"lebno.wav","0","8","A","prolific","0"
"84","591aac50ef20c600015d8c5d","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","prolific","0"
"85","591aac50ef20c600015d8c5d","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","prolific","1"
"86","591aac50ef20c600015d8c5d","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","prolific","1"
"87","591aac50ef20c600015d8c5d","complete","pinre.jpg",1,"pinre.wav","0","10","A","prolific","0"
"88","591aac50ef20c600015d8c5d","complete","lebno.jpg",1,"lebno.wav","0","7","A","prolific","0"
"89","591aac50ef20c600015d8c5d","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","prolific","0"
"90","591aac50ef20c600015d8c5d","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","prolific","1"
"91","5702439e7a84480009b6413d","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","prolific","1"
"92","5702439e7a84480009b6413d","complete","pinre.jpg",1,"pinre.wav","0","9","A","prolific","0"
"93","5702439e7a84480009b6413d","complete","lebno.jpg",1,"lebno.wav","0","8","A","prolific","0"
"94","5702439e7a84480009b6413d","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","prolific","0"
"95","5702439e7a84480009b6413d","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","prolific","1"
"96","5702439e7a84480009b6413d","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","prolific","1"
"97","5702439e7a84480009b6413d","complete","pinre.jpg",1,"pinre.wav","0","10","A","prolific","0"
"98","5702439e7a84480009b6413d","complete","lebno.jpg",1,"lebno.wav","0","7","A","prolific","0"
"99","5702439e7a84480009b6413d","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","prolific","0"
"100","5702439e7a84480009b6413d","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","prolific","1"
"101","12001","complete","tapsa.jpg",1,"tapsa.wav","1","1","B","sona","1"
"102","12001","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"103","12001","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"104","12001","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"105","12001","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"106","12001","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"107","12001","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"108","12001","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"109","12001","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"110","12001","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","sona","1"
"111","9175","complete","tapsa.jpg",1,"tapsa.wav","1","1","B","sona","1"
"112","9175","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"113","9175","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"114","9175","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"115","9175","complete","tapsa.jpg",0,"ttapsa.wav","1","5","B","sona","1"
"116","9175","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","B","sona","1"
"117","9175","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"118","9175","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"119","9175","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"120","9175","complete","tapsa.jpg",0,"t2_ttapsa.wav","1","4","B","sona","1"
"121","11095","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"122","11095","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"123","11095","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"124","11095","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"125","11095","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"126","11095","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","sona","1"
"127","11095","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"128","11095","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"129","11095","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"130","11095","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"131","4420","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","sona","1"
"132","4420","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"133","4420","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"134","4420","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"135","4420","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"136","4420","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"137","4420","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"138","4420","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"139","4420","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"140","4420","complete","tapsa.jpg",0,"t2_ttapsa.wav","1","4","A","sona","1"
"141","12121","complete","tapsa.jpg",1,"tapsa.wav","1","1","B","sona","1"
"142","12121","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"143","12121","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"144","12121","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"145","12121","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"146","12121","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"147","12121","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"148","12121","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"149","12121","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"150","12121","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","sona","1"
"151","11725","complete","ttapsa.jpg",0,"tapsa.wav","1","1","A","sona","1"
"152","11725","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"153","11725","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"154","11725","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"155","11725","complete","tapsa.jpg",0,"ttapsa.wav","1","5","A","sona","1"
"156","11725","complete","ttapsa.jpg",0,"t2_tapsa.wav","1","2","A","sona","1"
"157","11725","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"158","11725","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"159","11725","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"160","11725","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"161","4567","complete","tapsa.jpg",1,"tapsa.wav","1","1","B","sona","1"
"162","4567","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"163","4567","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"164","4567","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"165","4567","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"166","4567","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"167","4567","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"168","4567","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"169","4567","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"170","4567","complete","tapsa.jpg",0,"t2_ttapsa.wav","1","4","B","sona","1"
"171","11965","complete","ttapsa.jpg",0,"tapsa.wav","1","1","B","sona","1"
"172","11965","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"173","11965","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"174","11965","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"175","11965","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"176","11965","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"177","11965","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"178","11965","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"179","11965","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"180","11965","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","sona","1"
"181","9643","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","sona","1"
"182","9643","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"183","9643","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"184","9643","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"185","9643","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"186","9643","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"187","9643","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"188","9643","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"189","9643","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"190","9643","complete","tapsa.jpg",0,"t2_ttapsa.wav","1","4","A","sona","1"
"191","11995","complete","ttapsa.jpg",0,"tapsa.wav","1","1","B","sona","1"
"192","11995","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
"193","11995","complete","lebno.jpg",1,"lebno.wav","0","8","B","sona","0"
"194","11995","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","B","sona","0"
"195","11995","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","B","sona","1"
"196","11995","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","B","sona","1"
"197","11995","complete","pinre.jpg",1,"pinre.wav","0","10","B","sona","0"
"198","11995","complete","lebno.jpg",1,"lebno.wav","0","7","B","sona","0"
"199","11995","complete","tapsa.jpg",1,"tapsa.wav","0","3","B","sona","0"
"200","11995","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","B","sona","1"
"201","12031","complete","tapsa.jpg",1,"tapsa.wav","1","1","A","sona","1"
"202","12031","complete","pinre.jpg",1,"pinre.wav","0","9","A","sona","0"
"203","12031","complete","lebno.jpg",1,"lebno.wav","0","8","A","sona","0"
"204","12031","complete","ttapsa.jpg",1,"ttapsa.wav","0","6","A","sona","0"
"205","12031","complete","ttapsa.jpg",1,"ttapsa.wav","1","5","A","sona","1"
"206","12031","complete","tapsa.jpg",1,"t2_tapsa.wav","1","2","A","sona","1"
"207","12031","complete","pinre.jpg",1,"pinre.wav","0","10","A","sona","0"
"208","12031","complete","lebno.jpg",1,"lebno.wav","0","7","A","sona","0"
"209","12031","complete","tapsa.jpg",1,"tapsa.wav","0","3","A","sona","0"
"210","12031","complete","ttapsa.jpg",1,"t2_ttapsa.wav","1","4","A","sona","1"
"211","4441","complete","ttapsa.jpg",0,"tapsa.wav","1","1","B","sona","1"
"212","4441","complete","pinre.jpg",1,"pinre.wav","0","9","B","sona","0"
