Subject,Time,Run,fROI,value,Sentences,Sentences_deriv,Nonwords,Nonwords_deriv,R1,R2,R3,R4,R5,R6
249,102,1,4,616.4662577,1.074317529,-0.027227116,0,0,-0.004054919,0.032660965,-0.079322533,0.000745979,-0.000136611,0.000146581
249,102,1,5,694.0135593,1.074317529,-0.027227116,0,0,-0.004054919,0.032660965,-0.079322533,0.000745979,-0.000136611,0.000146581
249,102,1,2,792.7972973,1.074317529,-0.027227116,0,0,-0.004054919,0.032660965,-0.079322533,0.000745979,-0.000136611,0.000146581
249,102,1,3,721.2826087,1.074317529,-0.027227116,0,0,-0.004054919,0.032660965,-0.079322533,0.000745979,-0.000136611,0.000146581
249,102,1,1,684.1621622,1.074317529,-0.027227116,0,0,-0.004054919,0.032660965,-0.079322533,0.000745979,-0.000136611,0.000146581
249,102,2,4,600.5214724,0,0,1.074317529,-0.027227116,-0.028754554,-0.001086494,-0.004183696,-0.000876271,0.000144541,0.000800648
249,102,2,5,689.4881356,0,0,1.074317529,-0.027227116,-0.028754554,-0.001086494,-0.004183696,-0.000876271,0.000144541,0.000800648
249,102,2,2,790.8648649,0,0,1.074317529,-0.027227116,-0.028754554,-0.001086494,-0.004183696,-0.000876271,0.000144541,0.000800648
249,102,2,3,712.7608696,0,0,1.074317529,-0.027227116,-0.028754554,-0.001086494,-0.004183696,-0.000876271,0.000144541,0.000800648
249,102,2,1,665.8108108,0,0,1.074317529,-0.027227116,-0.028754554,-0.001086494,-0.004183696,-0.000876271,0.000144541,0.000800648
249,103,1,5,691.8135593,1.043214371,-0.023336136,0.000502176,0.000497874,0.013901977,0.063126762,-0.014618613,0.000677393,-4.03E-07,0.000253053
249,103,1,4,612.9631902,1.043214371,-0.023336136,0.000502176,0.000497874,0.013901977,0.063126762,-0.014618613,0.000677393,-4.03E-07,0.000253053
249,103,1,2,789.9864865,1.043214371,-0.023336136,0.000502176,0.000497874,0.013901977,0.063126762,-0.014618613,0.000677393,-4.03E-07,0.000253053
249,103,1,3,717.5652174,1.043214371,-0.023336136,0.000502176,0.000497874,0.013901977,0.063126762,-0.014618613,0.000677393,-4.03E-07,0.000253053
249,103,1,1,684.4594595,1.043214371,-0.023336136,0.000502176,0.000497874,0.013901977,0.063126762,-0.014618613,0.000677393,-4.03E-07,0.000253053
249,103,2,5,686.6949153,0.000502176,0.000497874,1.043214371,-0.023336136,-0.011167537,0.008337304,0.036055766,-0.000761666,0.000421493,0.000918908
249,103,2,4,599.791411,0.000502176,0.000497874,1.043214371,-0.023336136,-0.011167537,0.008337304,0.036055766,-0.000761666,0.000421493,0.000918908
249,103,2,2,788.9054054,0.000502176,0.000497874,1.043214371,-0.023336136,-0.011167537,0.008337304,0.036055766,-0.000761666,0.000421493,0.000918908
249,103,2,3,708.0869565,0.000502176,0.000497874,1.043214371,-0.023336136,-0.011167537,0.008337304,0.036055766,-0.000761666,0.000421493,0.000918908
249,103,2,1,667.3783784,0.000502176,0.000497874,1.043214371,-0.023336136,-0.011167537,0.008337304,0.036055766,-0.000761666,0.000421493,0.000918908
249,104,1,5,693.0067797,0.943155994,-0.083692008,0.093233255,0.075184231,0.004277317,-0.007325807,-0.048474933,0.000361921,0.000416393,0.000178328
249,104,1,4,612.4846626,0.943155994,-0.083692008,0.093233255,0.075184231,0.004277317,-0.007325807,-0.048474933,0.000361921,0.000416393,0.000178328
249,104,1,2,792.7297297,0.943155994,-0.083692008,0.093233255,0.075184231,0.004277317,-0.007325807,-0.048474933,0.000361921,0.000416393,0.000178328
249,104,1,3,717.173913,0.943155994,-0.083692008,0.093233255,0.075184231,0.004277317,-0.007325807,-0.048474933,0.000361921,0.000416393,0.000178328
249,104,1,1,675.7027027,0.943155994,-0.083692008,0.093233255,0.075184231,0.004277317,-0.007325807,-0.048474933,0.000361921,0.000416393,0.000178328
249,104,2,5,686.8305085,0.093233255,0.075184231,0.943155994,-0.083692008,-0.013354468,-0.033992016,-0.01575351,-0.000167838,0.000801822,0.001046352
249,104,2,4,598.5460123,0.093233255,0.075184231,0.943155994,-0.083692008,-0.013354468,-0.033992016,-0.01575351,-0.000167838,0.000801822,0.001046352
249,104,2,2,786.7837838,0.093233255,0.075184231,0.943155994,-0.083692008,-0.013354468,-0.033992016,-0.01575351,-0.000167838,0.000801822,0.001046352
249,104,2,3,708.8913043,0.093233255,0.075184231,0.943155994,-0.083692008,-0.013354468,-0.033992016,-0.01575351,-0.000167838,0.000801822,0.001046352
249,104,2,1,668.1081081,0.093233255,0.075184231,0.943155994,-0.083692008,-0.013354468,-0.033992016,-0.01575351,-0.000167838,0.000801822,0.001046352
249,105,1,3,718.2608696,0.589179296,-0.207868734,0.447618185,0.197656551,-0.011933652,0.014037436,-0.065796913,-0.000158667,0.000179912,-3.38E-05
249,105,1,2,792.7702703,0.589179296,-0.207868734,0.447618185,0.197656551,-0.011933652,0.014037436,-0.065796913,-0.000158667,0.000179912,-3.38E-05
249,105,1,4,616.196319,0.589179296,-0.207868734,0.447618185,0.197656551,-0.011933652,0.014037436,-0.065796913,-0.000158667,0.000179912,-3.38E-05
249,105,1,1,686.5135135,0.589179296,-0.207868734,0.447618185,0.197656551,-0.011933652,0.014037436,-0.065796913,-0.000158667,0.000179912,-3.38E-05
249,105,1,5,693.1457627,0.589179296,-0.207868734,0.447618185,0.197656551,-0.011933652,0.014037436,-0.065796913,-0.000158667,0.000179912,-3.38E-05
249,105,2,3,717.5217391,0.447618185,0.197656551,0.589179296,-0.207868734,-0.039318584,0.04235821,-0.001800903,-2.76E-05,0.001155786,0.00108772
249,105,2,2,794.1486486,0.447618185,0.197656551,0.589179296,-0.207868734,-0.039318584,0.04235821,-0.001800903,-2.76E-05,0.001155786,0.00108772
249,105,2,4,603.2208589,0.447618185,0.197656551,0.589179296,-0.207868734,-0.039318584,0.04235821,-0.001800903,-2.76E-05,0.001155786,0.00108772
249,105,2,1,675.7567568,0.447618185,0.197656551,0.589179296,-0.207868734,-0.039318584,0.04235821,-0.001800903,-2.76E-05,0.001155786,0.00108772
249,105,2,5,694.779661,0.447618185,0.197656551,0.589179296,-0.207868734,-0.039318584,0.04235821,-0.001800903,-2.76E-05,0.001155786,0.00108772
249,106,1,1,689.7297297,0.195249719,-0.184937847,0.82896772,0.169006253,0.014136017,0.052088761,-0.028323463,-0.000208015,0.000115624,2.24E-05
249,106,1,5,689.4305085,0.195249719,-0.184937847,0.82896772,0.169006253,0.014136017,0.052088761,-0.028323463,-0.000208015,0.000115624,2.24E-05
249,106,1,4,612.6564417,0.195249719,-0.184937847,0.82896772,0.169006253,0.014136017,0.052088761,-0.028323463,-0.000208015,0.000115624,2.24E-05
249,106,1,3,717.4130435,0.195249719,-0.184937847,0.82896772,0.169006253,0.014136017,0.052088761,-0.028323463,-0.000208015,0.000115624,2.24E-05
249,106,1,2,788.2432432,0.195249719,-0.184937847,0.82896772,0.169006253,0.014136017,0.052088761,-0.028323463,-0.000208015,0.000115624,2.24E-05
249,106,2,1,677.972973,0.82896772,0.169006253,0.195249719,-0.184937847,-0.023899872,-0.030911631,-0.060012502,0.000256689,0.001301954,0.001132119
249,106,2,5,699.020339,0.82896772,0.169006253,0.195249719,-0.184937847,-0.023899872,-0.030911631,-0.060012502,0.000256689,0.001301954,0.001132119
249,106,2,4,601.1411043,0.82896772,0.169006253,0.195249719,-0.184937847,-0.023899872,-0.030911631,-0.060012502,0.000256689,0.001301954,0.001132119
249,106,2,3,722.5869565,0.82896772,0.169006253,0.195249719,-0.184937847,-0.023899872,-0.030911631,-0.060012502,0.000256689,0.001301954,0.001132119
249,106,2,2,798.6351351,0.82896772,0.169006253,0.195249719,-0.184937847,-0.023899872,-0.030911631,-0.060012502,0.000256689,0.001301954,0.001132119
249,107,1,4,611.4785276,-0.04140138,-0.096084666,1.052272945,0.081414377,-0.009503463,-0.009818811,-0.068143593,0.000394348,0.000223741,-1.46E-05
249,107,1,5,688.0644068,-0.04140138,-0.096084666,1.052272945,0.081414377,-0.009503463,-0.009818811,-0.068143593,0.000394348,0.000223741,-1.46E-05
249,107,1,3,717.2173913,-0.04140138,-0.096084666,1.052272945,0.081414377,-0.009503463,-0.009818811,-0.068143593,0.000394348,0.000223741,-1.46E-05
249,107,1,1,681.1891892,-0.04140138,-0.096084666,1.052272945,0.081414377,-0.009503463,-0.009818811,-0.068143593,0.000394348,0.000223741,-1.46E-05
249,107,1,2,790.1486486,-0.04140138,-0.096084666,1.052272945,0.081414377,-0.009503463,-0.009818811,-0.068143593,0.000394348,0.000223741,-1.46E-05
249,107,2,4,601.7791411,1.052272945,0.081414377,-0.04140138,-0.096084666,-0.01894687,0.005659784,-0.021102718,0.00029963,0.001316585,0.00104569
249,107,2,5,696.3457627,1.052272945,0.081414377,-0.04140138,-0.096084666,-0.01894687,0.005659784,-0.021102718,0.00029963,0.001316585,0.00104569
249,107,2,3,722,1.052272945,0.081414377,-0.04140138,-0.096084666,-0.01894687,0.005659784,-0.021102718,0.00029963,0.001316585,0.00104569
249,107,2,1,673.7297297,1.052272945,0.081414377,-0.04140138,-0.096084666,-0.01894687,0.005659784,-0.021102718,0.00029963,0.001316585,0.00104569
249,107,2,2,796.7027027,1.052272945,0.081414377,-0.04140138,-0.096084666,-0.01894687,0.005659784,-0.021102718,0.00029963,0.001316585,0.00104569
249,108,1,4,610.6441718,-0.132398887,-0.030326893,1.135272346,0.018481046,0.01439013,0.026289391,-0.043547593,0.000774385,0.000111814,0.000124169
249,108,1,5,686.8033898,-0.132398887,-0.030326893,1.135272346,0.018481046,0.01439013,0.026289391,-0.043547593,0.000774385,0.000111814,0.000124169
